,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
1157,s1158,Movie,Bad Trip,,"Eric André, Lil Rel Howery, Tiffany Haddish, Michaela Conlin",United States,"March 26, 2021",2021,TV-MA,87 min,Comedies,"In this hidden-camera prank comedy, two best friends bond on a wild road trip to New York as they pull real people into their raunchy, raucous antics."
1161,s1162,Movie,Elizabeth and Margaret: Love and Loyalty,,,United Kingdom,"March 26, 2021",2020,TV-PG,87 min,Documentaries,"This documentary takes an intimate look at the complex, widely misunderstood relationship between Queen Elizabeth II and her sister, Princess Margaret."
1171,s1172,Movie,Seaspiracy,Ali Tabrizi,,United States,"March 24, 2021",2021,TV-14,90 min,Documentaries,"Passionate about ocean life, a filmmaker sets out to document the harm that humans do to marine species — and uncovers alarming global corruption."
1172,s1173,Movie,Loyiso Gola: Unlearning,Kagiso Lediga,Loyiso Gola,South Africa,"March 23, 2021",2021,TV-MA,60 min,Stand-Up Comedy,"South African comedian Loyiso Gola serves up filter-free humor as he riffs about race, identity, politics, and a school prank gone embarrassingly wrong!"
1178,s1179,Movie,Jiu Jitsu,Dimitri Logothetis,"Alain Moussi, Nicolas Cage, Tony Jaa, Rick Yune, Frank Grillo, Marie Avgeropoulos, JuJu Chan, Ryan Tarran, Eddie Steeples, Raymond Pinharry, Mary Makariou",United States,"March 20, 2021",2020,R,102 min,Action & Adventure,"After the defeat of a celebrated war hero, an ancient order of fighters battles powerful space invaders as the fate of humanity hangs in the balance."
1187,s1188,Movie,Deadly Illusions,Anna Elizabeth James,"Kristin Davis, Dermot Mulroney, Greer Grammer, Shanola Hampton, Marie Wagenman, Shylo Molina, Abella Bala, Shaun Wu",United States,"March 18, 2021",2021,R,115 min,Thrillers,"After a bestselling novelist suffering from writer's block hires a new nanny for her children, the line between fiction and reality starts to blur."
1189,s1190,Movie,Nate Bargatze: The Greatest Average American,Troy Miller,Nate Bargatze,United States,"March 18, 2021",2021,TV-G,60 min,Stand-Up Comedy,"Nate Bargatze touches on Zoom comedy shows, losing his phone, hotel breakfast fails, animal caddies, new math and much more in this special."
1191,s1192,Movie,The Fluffy Movie,"Manny Rodriguez, Jay Lavender",Gabriel Iglesias,United States,"March 18, 2021",2014,PG-13,101 min,Stand-Up Comedy,"Comedian Gabriel Iglesias takes the stage in San Jose, California, for a stand-up performance featuring wild stories and even wilder impersonations."
1195,s1196,Movie,Operation Varsity Blues: The College Admissions Scandal,Chris Smith,Matthew Modine,United States,"March 17, 2021",2021,R,100 min,Documentaries,Reenactments drive this documentary investigating the mastermind behind a scam to get the kids of rich and famous families into top US universities.
1198,s1199,Movie,RebellComedy: Straight Outta the Zoo,Ladislaus Kiraly,"Khalid Bounouar, Alain Frei, Babak Ghassim, Benaissa Lamroubal, Salim Samatou, Hany Siam, Ususmango, DJ Wati",Germany,"March 16, 2021",2021,TV-MA,74 min,Stand-Up Comedy,"The comics of RebellComedy take the stage and tackle mistaken identities, geriatric influencers, our flawed perceptions of animals and more."
1204,s1205,Movie,The Last Blockbuster,Taylor Morden,,United States,"March 15, 2021",2020,TV-14,87 min,Documentaries,"This nostalgic documentary reveals the real story of Blockbuster's demise, and how one last location in Oregon keeps the spirit of a bygone era alive."
1239,s1240,Movie,Parker,Taylor Hackford,"Jason Statham, Jennifer Lopez, Michael Chiklis, Wendell Pierce, Clifton Collins Jr., Bobby Cannavale, Patti LuPone, Carlos Carrasco, Micah Hauptman, Emma Booth, Nick Nolte",United States,"March 4, 2021",2013,R,119 min,Action & Adventure,"Parker is a thief – but he has scruples. So when his crew double-crosses him, Parker teams up with an unlikely partner to even the score."
1243,s1244,Movie,Black or White,Mike Binder,"Kevin Costner, Octavia Spencer, Jillian Estell, Bill Burr, Mpho Koaho, Anthony Mackie, Jennifer Ehle, André Holland, Gillian Jacobs, Paula Newsome",United States,"March 2, 2021",2014,PG-13,121 min,Dramas,A widowed lawyer struggles to retain custody of his biracial granddaughter when the girl's paternal grandmother questions his competence.
1278,s1279,Movie,Brian Regan: On the Rocks,Troy Miller,Brian Regan,United States,"February 23, 2021",2021,TV-G,58 min,Stand-Up Comedy,"Brian Regan tackles the big issues weighing on him, including aging, time, obsessive behavior, backpacks on airplanes, ungrateful horses and raisins."
1297,s1298,Movie,No Escape Room,Alex Merkin,"Jeni Ross, Mark Ghanimé, Hamza Haq, Kathyrn Davis, Dennis Andres, Brianna Barnes",United States,"February 18, 2021",2018,TV-14,85 min,Horror Movies,A lighthearted bonding opportunity takes a dark and decidedly dangerous turn when a father and daughter try out an escape room in a small town.
1303,s1304,Movie,The Most Unknown,Ian Cheney,,United States,"February 17, 2021",2018,TV-PG,92 min,Documentaries,"Traversing disciplines from physics to psychology, nine scientists share ideas and seek common ground by delving into deep existential questions."
1304,s1305,Movie,Animals on the Loose: A You vs. Wild Movie,Ben Simms,Bear Grylls,United States,"February 16, 2021",2021,TV-PG,139 min,Children & Family Movies,"When wild animals escape from a sanctuary, Bear Grylls — and you — must pursue them and secure their protective habitat. An interactive special."
1309,s1310,Movie,"My Teacher, My Obsession",Damián Romay,"Lucy Loken, Laura Bilgeri, Rusty Joiner, Alexandria Deberry, Dakota Bruton, Theresa Sutera, Vin Morreale Jr., Shelby Alicea, Tyler Joseph Campbell, Lestonja Diaz",United States,"February 15, 2021",2018,TV-14,86 min,Thrillers,"When Riley changed schools, she didn't expect the girls to crush on her English teacher dad. And he didn't expect a disturbing infatuation."
1315,s1316,Movie,Hate by Dani Rovira,Mario Briongos,Dani Rovira,Spain,"February 12, 2021",2021,TV-MA,83 min,Stand-Up Comedy,"From his hometown of Málaga, Dani Rovira reflects on human beings’ nonsensical hatred in this hilarious and unfiltered comedy special."
1319,s1320,Movie,Xico's Journey,Eric D. Cabello Díaz,"Verónica Alva, Pablo Gama Iturrarán “Mago Gamini”, Luis Ángel Jaramillo, Lila Downs, Elena Poniatowska, Verónica Castro, Enrique Guzmán, Alex Lora, Marco Antonio Solís, Víctor Trujillo",Mexico,"February 12, 2021",2021,TV-Y7,87 min,Children & Family Movies,"A girl, a dog and her best pal set out to save a mountain from a gold-hungry corporation. But the key lies closer to home, with her sidekick pup, Xico."
1336,s1337,Movie,Blanche Gardin: I talk to myself,Maïa Sandoz,Blanche Gardin,France,"February 5, 2021",2017,TV-MA,88 min,Stand-Up Comedy,"Touching on bulimia, death and cat sodomy, this French actress and comedian is keen to push the envelope in a one-woman show with understated flair."
1343,s1344,Movie,"Strip Down, Rise Up",Michèle Ohayon,,United States,"February 5, 2021",2021,R,113 min,Documentaries,"In an effort to reclaim their bodies and lives, a group of women explore the intersections of movement and meaning in a powerful pole dancing program."
1357,s1358,Movie,Rocks,Sarah Gavron,"Bukky Bakray, Kosar Ali, D'angelou Osei Kissiedu, Shaneigha-Monik Greyson, Sarah Niles, Ruby Stokes, Tawheda Begum, Afi Okaidja, Anastasia Dymitrow",United Kingdom,"February 1, 2021",2019,TV-MA,93 min,Dramas,"Following her mother's abrupt departure, a dynamic and determined teen goes to extraordinary lengths to protect and provide for her younger brother."
1358,s1359,Movie,Shutter Island,Martin Scorsese,"Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow, Michelle Williams, Emily Mortimer, Patricia Clarkson, Jackie Earle Haley, Ted Levine, John Carroll Lynch, Elias Koteas",United States,"February 1, 2021",2010,R,139 min,Thrillers,A U.S. marshal's troubling visions compromise his investigation into the disappearance of a patient from a hospital for the criminally insane.
1367,s1368,Movie,Hell Fest,Gregory Plotkin,"Amy Forsyth, Reign Edwards, Bex Taylor-Klaus, Tony Todd, Christian James, Matt Mercurio, Michael Tourek, Courtney Dietz, Stephen Conroy",United States,"January 31, 2021",2018,R,89 min,Horror Movies,"A serial killer picks off a group of friends, one by one, as they make their way through a hell-themed amusement park."
1389,s1390,Movie,Friendsgiving,Nicol Paone,"Malin Akerman, Kat Dennings, Aisha Tyler, Jane Seymour, Jack Donnelly, Chelsea Peretti, Christine Taylor, Ryan Hansen, Deon Cole, Wanda Sykes",United States,"January 21, 2021",2020,R,95 min,Comedies,A quiet holiday dinner among friends turns into a chaotic night of illicit activity and compromising situations when uninvited guests crash the party.
1391,s1392,Movie,Cut Throat City,RZA,"Shameik Moore, Demetrius Shipp Jr., Denzel Whitaker, Keean Johnson, Kat Graham, T.I., Terrence Howard, Rob Morgan, Eiza González, Ethan Hawke, Wesley Snipes",United States,"January 20, 2021",2020,R,123 min,Dramas,"Bereft of opportunities in the aftermath of Hurricane Katrina, a young man and his close friends turn to a life of crime in the 9th Ward of New Orleans."
1393,s1394,Movie,Sightless,Cooper Karl,"Madelaine Petsch, Alexander Koch, December Ensminger, Lee Jones",United States,"January 20, 2021",2020,TV-14,89 min,Thrillers,A former violinist grows suspicious of the new people in her life and their alarming behavior as she recovers from an assault that left her blind.
1396,s1397,Movie,Homefront,Gary Fleder,"Jason Statham, James Franco, Izabela Vidovic, Kate Bosworth, Marcus Hester, Clancy Brown, Winona Ryder, Omar Benson Miller, Rachelle Lefevre, Frank Grillo, Chuck Zito, Pruitt Taylor Vince",United States,"January 18, 2021",2013,R,100 min,Action & Adventure,"When an ex-DEA agent is widowed, he moves with his young daughter to a small town, but his quiet life is shattered by a meth-making drug trafficker."
1409,s1410,Movie,The Vanished,Peter Facinelli,"Thomas Jane, Anne Heche, Jason Patric, John D. Hickman, Peter Facinelli, Alex Haydon, Aleksei Archer, Kristopher Wente",United States,"January 15, 2021",2020,R,115 min,Thrillers,"When their daughter disappears during a family vacation, two terrified parents launch their own investigation that soon exposes local secrets."
1411,s1412,Movie,What Would Sophia Loren Do?,Ross Kauffman,"Nancy ""Vincenza Careri"" Kulik, Sophia Loren",United States,"January 15, 2021",2021,TV-14,32 min,Documentaries,"In this delightful short documentary, an Italian American grandmother and film buff finds strength and joy in the life of her screen idol, Sophia Loren."
1420,s1421,Movie,"Crack: Cocaine, Corruption & Conspiracy",Stanley Nelson,,United States,"January 11, 2021",2021,TV-MA,90 min,Documentaries,"A cheap, powerful drug emerges during a recession, igniting a moral panic fueled by racism. Explore the complex history of crack in the 1980s."
1425,s1426,Movie,Creating The Queen's Gambit,,,United States,"January 8, 2021",2021,TV-14,14 min,Documentaries,"A fascinating character. Exquisite sets. A wig for every era. The stars, creators and crew reveal how the hit series about a chess prodigy came to life."
1446,s1447,Movie,Bad Grandpa .5,Jeff Tremaine,"Johnny Knoxville, Jackson Nicoll, Greg Harris, Georgina Cates, Kamber Hejlik, Jill Killington, Madison Davis, George Faughnan, Spike Jonze, Catherine Keener",United States,"January 1, 2021",2014,TV-MA,87 min,Comedies,"The geriatric antics of Irving Zisman continue in this next installment of the Jackass franchise, which features unused footage from the first film."
1450,s1451,Movie,Eddie Murphy: Raw,Robert Townsend,Eddie Murphy,United States,"January 1, 2021",1987,R,90 min,Stand-Up Comedy,"This stand-up comedy classic features Eddie Murphy live in a provocative series of impressions, observations and remembrances of his childhood."
1454,s1455,Movie,Good Hair,Jeff Stilson,"Chris Rock, Nia Long, Maya Angelou, Ice-T, Eve, Meagan Good, Al Sharpton, KRS-One, Raven-Symoné",United States,"January 1, 2021",2009,PG-13,96 min,Documentaries,Chris Rock hops around the world going from beauty salons to science labs to comb through the mystery of Black hair.
1458,s1459,Movie,London Heist,Mark McQueen,"Craig Fairbrass, James Cosmo, Mem Ferda, Nick Moran, Steven Berkoff, Nathalie Cox, Roland Manookian, Eddie Webber, Tony Denham, Katie Clarkson-Hill",United Kingdom,"January 1, 2021",2017,R,96 min,Action & Adventure,"After a heist gone wrong, a career criminal gradually uncovers the hidden motive behind his father's murder – and it has nothing to do with money."
1459,s1460,Movie,Mean Girls 2,Melanie Mayron,"Meaghan Martin, Maiara Walsh, Jennifer Stone, Nicole Gale Anderson, Claire Holt, Diego Boneta, Linden Ashby, Rhoda Griffis, Mike Pniewski, Patrick Johnson, Tim Meadows",United States,"January 1, 2021",2011,PG-13,98 min,Comedies,The father of a high school pariah offers to pay another student's way through college if she makes friends with his outcast daughter.
1464,s1465,Movie,The Creative Brain,"Jennifer Beamish, Toby Trackman",David Eagleman,United States,"January 1, 2021",2019,TV-14,53 min,Documentaries,"Neuroscientist David Eagleman taps into the creative process of various innovators while exploring brain-bending, risk-taking ways to spark creativity."
1466,s1467,Movie,The Minimalists: Less Is Now,,,United States,"January 1, 2021",2021,TV-14,54 min,Documentaries,They've built a movement out of minimalism. Longtime friends Joshua Fields Millburn and Ryan Nicodemus share how our lives can be better with less.
1484,s1485,Movie,Cops and Robbers,"Arnon Manor, Timothy Ware-Hill",Timothy Ware-Hill,United States,"December 28, 2020",2020,PG-13,8 min,Dramas,Animation and activism unite in this multimedia spoken-word response to police brutality and racial injustice.
1486,s1487,Movie,Death to 2020,"Al Campbell, Alice Mathias","Samuel L. Jackson, Hugh Grant, Lisa Kudrow, Kumail Nanjiani, Tracey Ullman, Samson Kayo, Leslie Jones, Diane Morgan, Cristin Milioti, Joe Keery",United States,"December 27, 2020",2020,TV-MA,71 min,Comedies,"As the year we all want to end finally does, take a look back at 2020's mad glory in this comedic retrospective from the creators of ""Black Mirror."""
1490,s1491,Movie,The Magic School Bus Rides Again In the Zone,Richard Weston,"Mikaela Blake, Gabby Clarke, Roman Lutterotti, Leke Maceda-Rustecki, Matthew Mucci, Lynsey Pham, Kaden Stephen, Lights",Canada,"December 26, 2020",2020,TV-Y,46 min,Children & Family Movies,"Ms. Frizzle's class sees every show on a pop star's New Year's Eve tour, learning about time zones as they attend all her concerts on the same night."
1499,s1500,Movie,The Midnight Sky,George Clooney,"George Clooney, Felicity Jones, Kyle Chandler, Demián Bichir, David Oyelowo, Tiffany Boone, Caoilinn Springall, Sophie Rundle, Ethan Peck",United States,"December 23, 2020",2020,PG-13,119 min,Dramas,"In the aftermath of a global catastrophe, a lone scientist in the Arctic races to contact a crew of astronauts with a warning not to return to Earth."
1502,s1503,Movie,London Hughes: To Catch a D*ck,Kristian Mercado,London Hughes,United States,"December 22, 2020",2020,TV-MA,68 min,Stand-Up Comedy,Bawdy comedian and television presenter London Hughes revisits her past in this acclaimed breakout special filled with unfiltered tales and wild stories.
